ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
15.360;-66.689;-80.565;13.04;0.000;0.000;0.000;2.100;-47.018;-80.526;44.4
15.370;-66.559;-80.565;13.02;0.000;0.000;0.000;2.079;-47.082;-80.521;44.4
15.380;-66.429;-80.565;13.00;0.000;0.000;0.000;2.059;-47.148;-80.518;44.3
15.390;-66.299;-80.564;12.99;0.000;0.000;0.000;2.039;-47.213;-80.515;44.2
15.400;-66.169;-80.564;12.97;0.000;0.000;0.000;2.029;-47.242;-80.513;44.2
15.410;-66.040;-80.564;12.95;0.000;0.000;0.000;2.008;-47.306;-80.510;44.2
15.420;-65.910;-80.563;12.93;0.000;0.000;0.000;1.997;-47.338;-80.508;44.2
15.430;-65.781;-80.563;12.92;0.000;0.000;0.000;1.997;-47.338;-80.508;44.2
15.440;-65.652;-80.562;12.90;0.000;0.000;0.000;1.947;-47.496;-80.501;44.0
15.450;-65.523;-80.562;12.88;0.000;0.000;0.000;1.937;-47.528;-80.500;44.0
15.460;-65.395;-80.561;12.87;0.000;0.000;0.000;1.917;-47.591;-80.497;43.9
15.470;-65.266;-80.561;12.86;0.000;0.000;0.000;1.896;-47.651;-80.495;43.9
15.480;-65.137;-80.560;12.83;0.000;0.000;0.000;1.874;-47.721;-80.493;43.8
15.490;-65.009;-80.560;12.82;0.000;0.000;0.000;1.853;-47.784;-80.490;43.8
15.500;-64.881;-80.559;12.80;-0.022;0.000;0.000;1.842;-47.815;-80.489;43.8
15.510;-64.753;-80.559;12.78;-0.022;0.000;0.000;1.821;-47.884;-80.484;43.7
15.520;-64.625;-80.558;12.77;-0.022;0.000;0.000;1.802;-47.939;-80.478;43.7
15.530;-64.498;-80.558;12.75;-0.022;0.000;0.000;1.781;-48.005;-80.473;43.6
15.540;-64.370;-80.557;12.73;-0.022;0.000;0.000;1.760;-48.068;-80.467;43.6
15.550;-64.243;-80.556;12.72;-0.022;0.000;0.000;1.739;-48.136;-80.462;43.6
15.560;-64.116;-80.555;12.70;-0.022;0.000;0.000;1.729;-48.163;-80.459;43.6
15.570;-63.989;-80.554;12.68;-0.022;0.000;0.000;1.707;-48.230;-80.452;43.6
15.580;-63.862;-80.554;12.67;-0.022;0.000;0.000;1.686;-48.297;-80.446;43.6
15.590;-63.736;-80.553;12.66;-0.022;0.000;0.000;1.665;-48.356;-80.439;43.6
15.600;-63.609;-80.552;12.64;-0.022;0.000;0.000;1.645;-48.422;-80.433;43.6
15.610;-63.483;-80.550;12.62;-0.022;0.000;0.000;1.635;-48.450;-80.429;43.6
15.620;-63.357;-80.549;12.61;-0.022;0.000;0.000;1.614;-48.517;-80.422;43.6
15.630;-63.231;-80.548;12.59;-0.022;0.000;0.000;1.595;-48.574;-80.415;43.6
15.640;-63.105;-80.547;12.57;-0.022;0.000;0.000;1.575;-48.630;-80.406;43.6
15.650;-62.980;-80.546;12.56;-0.022;0.000;0.000;1.553;-48.699;-80.399;43.5
15.660;-62.854;-80.544;12.54;-0.022;0.000;0.000;1.533;-48.756;-80.390;43.6
15.670;-62.729;-80.543;12.52;-0.022;0.000;0.000;1.512;-48.824;-80.382;43.5
15.680;-62.604;-80.541;12.51;-0.022;0.000;0.000;1.501;-48.854;-80.377;43.5
15.690;-62.479;-80.539;12.49;-0.022;0.000;0.000;1.480;-48.920;-80.370;43.5
15.700;-62.354;-80.538;12.47;-0.022;0.000;0.000;1.458;-48.984;-80.360;43.4
15.710;-62.229;-80.536;12.46;-0.022;0.000;0.000;1.438;-49.047;-80.352;43.4
15.720;-62.105;-80.534;12.44;-0.022;0.000;0.000;1.418;-49.106;-80.344;43.4
15.730;-61.981;-80.532;12.43;-0.022;0.000;0.000;1.396;-49.167;-80.333;43.4
15.740;-61.856;-80.530;12.41;-0.022;0.000;0.000;1.375;-49.233;-80.325;43.3
15.750;-61.732;-80.528;12.39;-0.022;0.000;0.000;1.365;-49.259;-80.320;43.3
15.760;-61.609;-80.526;12.38;-0.022;0.000;0.000;1.344;-49.319;-80.310;43.3
15.770;-61.485;-80.524;12.36;-0.022;0.000;0.000;1.321;-49.392;-80.302;43.1
15.780;-61.361;-80.521;12.35;-0.022;0.000;0.000;1.301;-49.448;-80.291;43.2
15.790;-61.238;-80.519;12.33;-0.022;0.000;0.000;1.289;-49.482;-80.286;43.1
15.800;-61.115;-80.516;12.31;-0.022;0.000;0.000;1.267;-49.549;-80.278;43.0
